gene_name	description	ebi_biotype
PF3D7-0203100	protein_kinase%2C_putative	protein_coding
PF3D7-0203200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0203300	ERCC1_ERCC1_nucleotide_excision_repair_protein%2C_putative	protein_coding
PF3D7-0203400	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0203500	tRNA_Glutamine	tRNA
PF3D7-0203600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0203700	MAK16_protein_MAK16%2C_putative	protein_coding
PF3D7-0203800	WD_repeat-containing_protein%2C_putative	protein_coding
PF3D7-0203900	5'-3'_exonuclease%2C_putative	protein_coding
PF3D7-0204000	CAPH2_condensin-2_complex_subunit_H2%2C_putative	protein_coding
PF3D7-0204100	Sel1_repeat-containing_protein%2C_putative	protein_coding
PF3D7-0204200	SEC66_translocation_protein_SEC66%2C_putative	protein_coding
PF3D7-0204300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0204400	dynein_light_chain%2C_putative	protein_coding
PF3D7-0204500	AspAT_aspartate_aminotransferase	protein_coding
PF3D7-0204600	5'-3'_exonuclease%2C_putative	protein_coding
PF3D7-0204700	HT1_sugar_transporter	protein_coding
PF3D7-0204800	3'-5'_exonuclease%2C_putative	protein_coding
PF3D7-0204900	COQ5_2-methoxy-6-polyprenyl-1%2C4-benzoquinol_methylase%2C_mitochondrial%2C_putative	protein_coding
PF3D7-0205000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0205100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0205200	MORN_repeat_protein%2C_putative	protein_coding
PF3D7-0205300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0205400	PCI_domain-containing_protein%2C_putative	protein_coding
PF3D7-0205500	DNA-directed_RNA_polymerase_II_16_kDa_subunit%2C_putative	protein_coding
PF3D7-0205600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0205700	RNA-binding_protein%2C_putative	protein_coding
PF3D7-0205800	PH1_PH_domain-containing_protein%2C_putative	protein_coding
PF3D7-0205900	RPN1_26S_proteasome_regulatory_subunit_RPN1%2C_putative	protein_coding
PF3D7-0206000	RAD2_DNA_repair_protein_RAD2%2C_putative	protein_coding
PF3D7-0206100	SufE_cysteine_desulfuration_protein_SufE	protein_coding
PF3D7-0206200	PAT_pantothenate_transporter	protein_coding
PF3D7-0206300	AROM_pentafunctional_AROM_polypeptide%2C_putative%2C_pseudogene	pseudogene
PF3D7-0206500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0206600	DNA-directed_RNA_polymerase_III_subunit_RPC10%2C_putative	protein_coding
PF3D7-0206700	ADSL_adenylosuccinate_lyase	protein_coding
PF3D7-0206800	MSP2_merozoite_surface_protein_2	protein_coding
PF3D7-0206900	MSP5_merozoite_surface_protein_5	protein_coding
PF3D7-0207000	MSP4_merozoite_surface_protein_4	protein_coding
PF3D7-0207100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0207200	ISCA1_iron-sulfur_assembly_protein%2C_putative	protein_coding
PF3D7-0207300	SERA8_serine_repeat_antigen_8	protein_coding
PF3D7-0207400	SERA7_serine_repeat_antigen_7	protein_coding
PF3D7-0207500	SERA6_serine_repeat_antigen_6	protein_coding
PF3D7-0207600	SERA5_serine_repeat_antigen_5	protein_coding
PF3D7-0207700	SERA4_serine_repeat_antigen_4	protein_coding
PF3D7-0207800	SERA3_serine_repeat_antigen_3	protein_coding
PF3D7-0207900	SERA2_serine_repeat_antigen_2	protein_coding
PF3D7-0208000	SERA1_serine_repeat_antigen_1	protein_coding
PF3D7-0208100	C2_domain-containing_protein_5%2C_putative	protein_coding
PF3D7-0208200	KRR1_KRR1_small_subunit_processome_component%2C_putative	protein_coding
PF3D7-0208300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0208400	histidine_phosphatase%2C_putative	protein_coding
PF3D7-0208500	ACP_acyl_carrier_protein	protein_coding
PF3D7-0208600	RRF1_ribosome-recycling_factor	protein_coding
PF3D7-0208700	SHS2_domain-containing_protein%2C_putative	protein_coding
PF3D7-0208800	protein_P22%2C_putative	protein_coding
PF3D7-0208900	P230p_transmission-blocking_target_antigen_s230_paralog	protein_coding
PF3D7-0209000	P230_transmission-blocking_target_antigen_s230	protein_coding
PF3D7-0209100	PATPL1_patatin-like_phospholipase_1	protein_coding
PF3D7-0209200	MTR3_exosome_complex_component_MTR3%2C_putative	protein_coding
PF3D7-0209300	IspF_2C-methyl-D-erythritol_2%2C4-cyclodiphosphate_synthase	protein_coding
PF3D7-0209400	ARMT1-like_domain-containing_protein%2C_putative	protein_coding
PF3D7-0209500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0209600	transporter%2C_putative	protein_coding
PF3D7-0209700	RING_zinc_finger_protein%2C_putative	protein_coding
PF3D7-0209800	UAP56_ATP-dependent_RNA_helicase_UAP56	protein_coding
PF3D7-0209900	non-coding_RNA	ncRNA
PF3D7-0210000	Sec61-gamma_secretory_complex_protein_61_gamma_subunit	protein_coding
PF3D7-0210100	RPL37A_60S_ribosomal_protein_L37ae%2C_putative	protein_coding
PF3D7-0210200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0210300	monocarboxylate_transporter%2C_putative	protein_coding
PF3D7-0210400	50S_ribosomal_protein_L33%2C_putative	protein_coding
PF3D7-0210500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0210600	CERLI1_rhoptry_apical_surface_protein_RASP2	protein_coding
PF3D7-0210700	SYN17_syntaxin%2C_Qa-SNARE_family	protein_coding
PF3D7-0210800	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0210900	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0211000	non-coding_RNA	ncRNA
PF3D7-0211100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0211200	RAB5a_ras-related_protein_Rab-5A	protein_coding
PF3D7-0211300	ubiquinol-cytochrome-c_reductase_complex_assembly_factor_1%2C_putative	protein_coding
PF3D7-0211400	KASIII_oxoacyl-ACP_synthase	protein_coding
PF3D7-0211500	GAF_domain-related_protein%2C_putative	protein_coding
PF3D7-0211600	ALG14_UDP-N-acetylglucosamine_transferase_subunit_ALG14%2C_putative	protein_coding
PF3D7-0211700	TKL1_tyrosine_kinase-like_protein%2C_putative	protein_coding
PF3D7-0211800	AsnRS_asparagine--tRNA_ligase	protein_coding
PF3D7-0211900	pseudouridine_synthase%2C_putative	protein_coding
PF3D7-0212000	GDP-fructose:GMP_antiporter%2C_putative	protein_coding
PF3D7-0212100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0212200	ribosomal_protein_L12%2C_mitochondrial%2C_putative	protein_coding
